Dataset,Min,First_Qu,Median,Mean,Third_Qu,Max,Std_Dev,Var,Range,IQR
heart_disease_generated_L1_all_to_all_seed17,36.60963261859892,59.9875990854249,68.24221021247303,66.12136986904223,74.51404918226274,76.98785043405013,9.327775410359392,87.00739410610532,40.37821781545121,14.526450096837841
heart_disease_generated_L1_all_to_all_seed27,30.34271335251196,47.75966518642445,57.88992529186504,57.611803527003524,68.38049448318719,76.9990635242715,12.1178823977061,146.84307380463537,46.65635017175954,20.620829296762743
heart_disease_generated_L1_all_to_all_seed7,51.11665322214872,69.74673501579062,75.05085897485996,72.35416398176396,76.59817782524023,76.99793954654137,5.791246867459268,33.53854027985678,25.881286324392654,6.851442809449608
heart_disease_generated_L1_linear_seed17,34.77598717698953,57.41256446782578,66.10451413559964,64.3709640212051,73.64596310585932,76.99842932041985,10.074397784068184,101.49349071163793,42.222442143430314,16.23339863803354
heart_disease_generated_L1_linear_seed27,36.54827385955656,59.148038510592926,68.17712721852546,66.01526728764686,74.83489197664869,76.98911163780872,9.46822757887141,89.64733348530116,40.44083777825216,15.686853466055766
heart_disease_generated_L1_linear_seed7,54.85582517088505,71.04286627138347,75.06174183346778,73.00118615440608,76.59313188652291,76.99828539524059,4.8100132604812,23.136227566004987,22.14246022435554,5.550265615139438
heart_disease_generated_L2_all_to_all_re_upload_seed17,53.10579077182265,63.35922859456069,69.65278090815285,68.37825102051377,74.55844774599798,76.99528120129449,7.2698559083505785,52.85080492817982,23.88949042947184,11.19921915143729
heart_disease_generated_L2_all_to_all_re_upload_seed27,30.958197472058096,42.15620748748242,48.89514367262025,46.92552468984613,52.85832832032193,54.62260859826655,6.698486297486098,44.869718677609015,23.664411126208456,10.702120832839512
heart_disease_generated_L2_all_to_all_re_upload_seed7,29.03212016370575,32.29569706357137,39.11102737696908,40.66385351593899,49.7797586961157,53.03736413346636,8.622651260464167,74.35011475958429,24.005243969760613,17.484061632544332
heart_disease_generated_L2_all_to_all_seed17,51.92411901508132,51.95570813201658,52.04257349042683,52.11211969059358,52.20395231548043,53.05055640838155,0.2121859330600682,0.04502287018857174,1.126437393300236,0.24824418346384647
heart_disease_generated_L2_all_to_all_seed27,30.8872157485497,32.12976662066261,37.5157422466263,38.99457483826522,44.074298157099804,65.46375723214472,7.617551133808177,58.027085276182234,34.576541483595015,11.944531536437196
heart_disease_generated_L2_all_to_all_seed7,43.19132308735863,57.50067369914693,64.80664343129696,62.1642239630723,67.85968662011805,69.44305397680391,6.8671011080429505,47.15707762808472,26.251730889445277,10.359012920971125
heart_disease_generated_L2_linear_seed17,30.61620626847682,40.56180970483352,48.625127304956415,48.924138435237985,57.482844479000434,75.48536268093494,10.406664944217782,108.2986752612113,44.869156412458125,16.921034774166912
heart_disease_generated_L2_linear_seed27,36.98137059834873,38.65099335675164,42.25415760921928,44.37952271277055,48.482219691308885,63.09382241715495,6.626287716387444,43.90768890034713,26.11245181880622,9.831226334557243
heart_disease_generated_L2_linear_seed7,42.23742504495684,59.39656359863317,67.74550925693515,64.55064702835472,71.06030571598265,72.49083910072157,7.826444441612425,61.253232597646026,30.253414055764736,11.663742117349479
heart_disease_generated_L2_re_upload_seed17,31.55848657764748,65.52627110072464,71.19517880527874,67.54966339621394,74.68816886919993,76.91120774226175,10.032684883942693,100.6547659804922,45.35272116461427,9.161897768475285
heart_disease_generated_L2_re_upload_seed27,37.00701300457403,46.87475765978391,53.70976111592202,51.87896682146192,57.209623726885866,62.715406637961244,6.498406925775987,42.22929257297331,25.708393633387217,10.334866067101956
heart_disease_generated_L2_re_upload_seed7,29.062839993307463,33.98642597089802,41.203001447551856,41.21069181103794,49.20543480645091,54.24691814379648,7.825361809191712,61.23628744475619,25.184078150489015,15.219008835552891
heart_disease_original,29.0,48.0,56.0,54.54208754208754,61.0,77.0,9.049735681096765,81.89771589771594,48.0,13.0
