Dataset,Min,First_Qu,Median,Mean,Third_Qu,Max,Std_Dev,Var,Range,IQR
student_performance_generated_L1_all_to_all_seed17,17.42408653079708,21.507610480513737,21.77473195034128,21.526073999459626,21.986437020560423,21.986437020560423,0.5308659775083694,0.2818186860759166,4.562350489763343,0.47882654004668623
student_performance_generated_L1_all_to_all_seed27,16.57469171988937,20.92116931704441,21.77801211033266,21.439870871674536,21.98560440298945,21.98560440298945,0.7212395811667335,0.5201865334415652,5.410912683100079,1.064435085945039
student_performance_generated_L1_all_to_all_seed7,17.44292160999482,20.90007076983161,21.517676485415425,21.131597222338083,21.767699698755205,21.988120626633677,0.8810907853274148,0.7763209719888806,4.545199016638858,0.8676289289235939
student_performance_generated_L1_linear_seed17,17.413790502388643,21.502059547806983,21.77853722164446,21.52644542315513,21.98546825156864,21.98546825156864,0.5310567399128192,0.2820212610068317,4.571677749179997,0.4834087037616577
student_performance_generated_L1_linear_seed27,16.543563268149942,20.89401887168404,21.76471512927963,21.43209173574879,21.98879451641808,21.98879451641808,0.7317269107321454,0.5354242718896091,5.445231248268136,1.0947756447340389
student_performance_generated_L1_linear_seed7,15.90960804902672,17.187366505669736,18.72510812425813,18.30568202803756,20.218264318067256,21.95527405275597,1.706578595034025,2.9124105010283072,6.0456660037292504,3.0308978123975194
student_performance_generated_L2_all_to_all_re_upload_seed17,18.63546024780755,21.269371969336735,21.40727133792048,21.17329855945711,21.99644394800078,21.996444381651965,0.7899207067802893,0.6239747230002717,3.360984133844415,0.7270719786640463
student_performance_generated_L2_all_to_all_re_upload_seed27,17.1033311823587,19.315104816126382,19.315110486442055,19.587221615960036,20.459958408062732,20.460001196072177,0.9834204456250504,0.9671157728733727,3.356670013713476,1.14485359193635
student_performance_generated_L2_all_to_all_re_upload_seed7,15.228041511066444,17.358197315045505,18.550351696831783,17.90026960826387,18.558643325223585,18.56155646396468,0.8229950612396251,0.6773208708248142,3.3335149528982377,1.20044601017808
student_performance_generated_L2_all_to_all_seed17,17.822433915660728,20.89921404595958,20.96739014407961,20.82639542373427,21.200871424707845,21.20089589032839,0.4137175637989421,0.17116222259573172,3.378461974667662,0.3016573787482635
student_performance_generated_L2_all_to_all_seed27,17.185190409676895,17.185831326219645,17.41758898333476,17.49022673914233,17.863887475117654,19.50308733835598,0.3857541257240179,0.14880624551310143,2.317896928679083,0.6780561488980084
student_performance_generated_L2_all_to_all_seed7,17.388795599403572,18.449347973892024,19.51945563310241,19.117860752502995,20.387477430848495,20.90457296258371,1.1188579853132923,1.2518431912993195,3.5157773631801383,1.9381294569564709
student_performance_generated_L2_linear_seed17,16.51546429525737,21.31876721281772,21.52064320663461,21.32106730127947,21.764038586509496,21.9384266917214,0.599845678879396,0.35981483847028345,5.42296239646403,0.44527137369177794
student_performance_generated_L2_linear_seed27,17.00025748348344,17.382706340018103,17.61336505599661,17.75318159901826,17.97990135555233,19.75700013692016,0.5818569437514053,0.33855750299172604,2.756742653436717,0.5971950155342256
student_performance_generated_L2_linear_seed7,17.33391083395455,18.350659514855995,19.38065457231605,19.017748759454282,20.24528895503459,20.834743978491037,1.0908478760984157,1.1899490887884248,3.500833144536486,1.8946294401785941
student_performance_generated_L2_re_upload_seed17,15.335790931918655,20.520121828813103,21.445699639366588,20.903523958120324,21.91048251669972,21.99532460084989,1.2435546022273183,1.5464280487207436,6.659533668931235,1.3903606878866164
student_performance_generated_L2_re_upload_seed27,17.04183763318758,20.257675288286357,20.38799173324615,20.17092456704479,20.86261586413533,21.27123987582688,0.9429406344136558,0.8891370400284277,4.229402242639299,0.6049405758489712
student_performance_generated_L2_re_upload_seed7,15.17066228811746,17.17458751873804,18.428784258938144,17.843452879648655,18.54496609599236,18.5479856258341,0.81220997546711,0.6596850442482836,3.377323337716641,1.3703785772543213
student_performance_original,15.0,16.0,17.0,16.7442218798151,18.0,22.0,1.2181376394800618,1.483859308718057,7.0,2.0
