,,,svqx_value,svqx_value
,,,mean,std
dataset,configuration,gate_group,,
student_performance,L1_all_to_all,entangling_CNOT,-0.162087912087912,0.1494863447400789
student_performance,L1_all_to_all,qubit_0_rot,0.0,0.0
student_performance,L1_all_to_all,qubit_1_rot,0.0,0.0
student_performance,L1_all_to_all,qubit_2_rot,0.0,0.0
student_performance,L1_all_to_all,qubit_3_rot,0.0,0.0
student_performance,L1_all_to_all,qubit_4_rot,0.0,0.0
student_performance,L1_all_to_all,qubit_5_rot,0.0,0.0
student_performance,L1_all_to_all,qubit_6_rot,0.0,0.0
student_performance,L1_all_to_all,qubit_7_rot,-0.162087912087912,0.1494863447400789
student_performance,L1_all_to_all,qubit_8_rot,-0.16300366300366276,0.16038979273942283
student_performance,L1_all_to_all,qubit_9_rot,0.0,0.0
student_performance,L1_linear,entangling_CNOT,-0.2633699633699624,0.14623415311846083
student_performance,L1_linear,qubit_0_rot,-0.015873015873015834,0.02749286996141068
student_performance,L1_linear,qubit_1_rot,-0.007814407814407733,0.0067699535527945415
student_performance,L1_linear,qubit_2_rot,-0.023809523809523735,0.041239304942115994
student_performance,L1_linear,qubit_3_rot,0.0023809523809523664,0.004123930494211588
student_performance,L1_linear,qubit_4_rot,0.006349206349206334,0.010997147984564273
student_performance,L1_linear,qubit_5_rot,-0.031929181929181864,0.0658822378039154
student_performance,L1_linear,qubit_6_rot,0.0050671550671550665,0.028453978878612347
student_performance,L1_linear,qubit_7_rot,-0.03333333333333323,0.053663941283736284
student_performance,L1_linear,qubit_8_rot,-0.1504884004884005,0.13452930557938794
student_performance,L1_linear,qubit_9_rot,0.0,0.0
student_performance,L2_all_to_all,entangling_CNOT,-0.058974358974359035,0.09103793926398969
student_performance,L2_all_to_all,qubit_0_rot,0.0,0.0
student_performance,L2_all_to_all,qubit_1_rot,0.0,0.0
student_performance,L2_all_to_all,qubit_2_rot,0.0,0.0
student_performance,L2_all_to_all,qubit_3_rot,0.0,0.0
student_performance,L2_all_to_all,qubit_4_rot,0.0,0.0
student_performance,L2_all_to_all,qubit_5_rot,0.0,0.0
student_performance,L2_all_to_all,qubit_6_rot,-0.0076923076923077,0.026213999784490256
student_performance,L2_all_to_all,qubit_7_rot,0.024053724053724034,0.0754200986854217
student_performance,L2_all_to_all,qubit_8_rot,-0.2210622710622716,0.11124557050337122
student_performance,L2_all_to_all,qubit_9_rot,-0.03485958485958483,0.061412439461916345
student_performance,L2_all_to_all_re_upload,entangling_CNOT,-0.26312576312576336,0.06334357931062627
student_performance,L2_all_to_all_re_upload,qubit_0_rot,0.0,0.0
student_performance,L2_all_to_all_re_upload,qubit_1_rot,0.0,0.0
student_performance,L2_all_to_all_re_upload,qubit_2_rot,0.0,0.0
student_performance,L2_all_to_all_re_upload,qubit_3_rot,0.0,0.0
student_performance,L2_all_to_all_re_upload,qubit_4_rot,0.0,0.0
student_performance,L2_all_to_all_re_upload,qubit_5_rot,0.0,0.0
student_performance,L2_all_to_all_re_upload,qubit_6_rot,-0.052045177045177,0.05905779349682043
student_performance,L2_all_to_all_re_upload,qubit_7_rot,-0.10347985347985343,0.09716078376462571
student_performance,L2_all_to_all_re_upload,qubit_8_rot,0.018315018315018333,0.09340892764446715
student_performance,L2_all_to_all_re_upload,qubit_9_rot,-0.06852869352869352,0.04387205167175106
student_performance,L2_linear,entangling_CNOT,-0.20109321895036225,0.14662438955150806
student_performance,L2_linear,qubit_0_rot,-0.013421697350268798,0.028403497489062228
student_performance,L2_linear,qubit_1_rot,0.019563505277790934,0.03011307518228372
student_performance,L2_linear,qubit_2_rot,-0.07068302068302083,0.17469408605164702
student_performance,L2_linear,qubit_3_rot,-0.0119107083392798,0.06375798113662147
student_performance,L2_linear,qubit_4_rot,0.023597170025741434,0.05831876909668748
student_performance,L2_linear,qubit_5_rot,0.005705868205868232,0.07933734046710532
student_performance,L2_linear,qubit_6_rot,-0.0065891780177495,0.03561823405300174
student_performance,L2_linear,qubit_7_rot,0.012712816284244801,0.016846588772664275
student_performance,L2_linear,qubit_8_rot,-0.140706713921,0.03164076368041863
student_performance,L2_linear,qubit_9_rot,-0.012779218136360999,0.023675063430856184
student_performance,L2_re_upload,entangling_CNOT,-0.3225465671894245,0.07006057420883184
student_performance,L2_re_upload,qubit_0_rot,0.004786417286417266,0.03659391964728148
student_performance,L2_re_upload,qubit_1_rot,-0.04035719571433854,0.04199213494673883
student_performance,L2_re_upload,qubit_2_rot,0.002785574214145634,0.01779538686164957
student_performance,L2_re_upload,qubit_3_rot,0.0360178842321699,0.0326405998748961
student_performance,L2_re_upload,qubit_4_rot,0.01982871625728767,0.027316680494059744
student_performance,L2_re_upload,qubit_5_rot,0.015204174132745532,0.030591112406381727
student_performance,L2_re_upload,qubit_6_rot,0.009784527641670466,0.027044277560548908
student_performance,L2_re_upload,qubit_7_rot,-0.02296301582015867,0.04270604009515646
student_performance,L2_re_upload,qubit_8_rot,0.0026053311767597668,0.00773839071364206
student_performance,L2_re_upload,qubit_9_rot,-0.007343648415076933,0.007052386428004474
